inchi,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166
Bolinopsis_614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,1,0,5,0,3,0,0,0,1,2,10,4,9,0,0,12,0,3,0,0,2,0,0,0,11,0,0,0,0,2,9,11,0,2,0,4,0,9,3,0,0,0,0,1,0,0,0,2,2,1,0,16,2,0,0,0,10,0,5,4,14,4,11,2,0,1,14,3,0,4,0,11,1,5,10,12,17,4,19,14,4,11,6,1,14,6,0
Bolinopsis_615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,5,0,2,0,0,0,0,4,13,5,13,0,0,19,0,8,0,0,2,0,0,0,14,0,0,0,1,3,13,11,0,2,0,2,0,13,4,0,0,0,0,4,0,0,0,2,1,1,0,24,7,0,0,0,17,0,5,9,26,7,15,2,0,1,26,4,0,7,0,15,2,5,17,14,26,9,28,26,7,15,6,1,26,6,0
Bolinopsis_616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,8,0,0,2,2,1,1,0,0,0,2,6,5,8,0,0,12,2,4,0,0,2,0,0,0,6,2,0,0,1,1,8,7,0,0,0,2,0,8,2,0,2,2,1,2,0,0,0,0,2,0,0,13,3,0,0,0,10,2,3,4,14,6,10,0,0,1,14,2,1,6,1,9,1,3,10,5,17,4,18,14,6,10,9,1,14,14,0
Bolinopsis_617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,1,0,3,0,0,0,0,1,8,6,9,0,0,11,0,1,0,0,1,0,0,0,4,0,0,0,0,0,9,4,0,0,2,2,0,9,4,0,0,0,0,1,0,0,0,0,0,1,0,13,1,0,0,0,10,0,1,2,12,12,11,0,0,0,12,4,0,12,0,11,1,1,10,8,18,2,19,12,12,11,0,0,12,0,0
Bolinopsis_618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,8,0,0,2,0,2,0,1,0,2,1,11,6,8,1,0,11,0,1,0,0,1,0,0,0,6,0,1,0,0,0,8,6,0,4,1,2,1,8,3,1,0,0,0,1,0,0,0,4,0,0,0,17,0,0,0,0,9,0,3,4,13,7,12,4,0,2,13,3,0,7,0,12,3,3,9,9,18,4,20,13,7,12,12,2,13,12,0
Bolinopsis_619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,1,0,1,0,2,1,12,4,8,1,0,11,0,7,0,0,1,0,0,0,13,0,0,0,0,0,8,8,0,0,0,1,1,8,3,0,0,0,0,6,0,0,0,0,2,0,0,17,11,0,0,0,14,0,3,7,21,2,9,0,0,0,21,3,0,2,0,9,1,3,14,11,16,7,17,21,2,9,0,0,21,0,0
Bolinopsis_620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,7,28,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,6,3,22,0,0,7,0,3,0,2,0,3,4,31,13,22,2,0,26,0,8,0,0,3,0,1,0,23,0,2,0,0,3,22,21,0,2,2,16,2,22,6,3,0,0,0,2,1,0,0,2,2,0,1,38,6,0,0,0,24,0,9,8,32,19,29,2,0,2,32,6,1,19,0,29,2,9,23,27,45,8,49,32,19,29,12,2,32,12,0
Bolinopsis_621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,2,8,0,0,3,0,4,0,0,0,0,1,20,12,8,0,0,11,0,1,0,0,3,0,0,0,12,0,2,0,0,0,8,11,0,0,0,6,0,8,8,2,0,0,0,2,0,0,0,0,0,1,0,19,2,0,0,0,10,0,3,3,13,7,16,0,0,1,13,8,0,7,0,16,1,3,10,16,19,3,24,13,7,16,6,1,13,6,0
Bolinopsis_622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,8,0,0,1,1,1,1,0,0,0,2,8,5,8,0,0,12,1,2,0,0,1,0,0,0,6,0,0,0,0,1,8,6,0,0,0,2,0,8,4,0,1,1,1,3,0,0,0,0,1,0,0,13,4,0,0,0,11,1,2,5,16,7,9,0,0,0,16,4,1,7,1,8,1,2,11,6,17,5,18,16,7,9,0,0,16,5,0
Bolinopsis_623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,1,0,9,1,0,1,1,2,0,0,0,0,2,8,4,8,0,0,12,1,2,0,0,1,0,0,0,6,0,0,0,0,0,8,7,0,0,0,4,0,8,3,0,2,2,0,1,0,0,0,0,0,1,0,14,0,0,0,0,9,2,1,3,12,9,12,0,0,1,12,3,0,9,0,11,2,1,9,8,18,3,18,12,9,12,11,1,12,11,0
