,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78
Nematostella_11,3.054871534890288,0.4412680401434632,2.339948953808922,1.9295807057705716,3.1672491120621977,2.2190207243091375,2.835178373231263,2.7853419728345554,2.0301975940690102,2.4384826952447405,2.335593908071707,3.302944467754009,2.5300020071985188,3.127715178937288,2.6230375525629457,2.2882554608636583,2.0893676982313325,2.6059913136007915,2.2056483821115664,2.489205402224644,2.5029462338764104,2.6574798428275637,2.4805889323701176,2.517693771013212,2.6458292588937007,2.4529059533826723,2.631693245882672,2.5585279040652913,2.4722933181151374,2.6334481675350188,2.558333636501356,2.534539951449583,2.526625059584125,2.501713884395471,2.549585902223177,2.5604526413179953,2.555066561806857,2.5152820221101027,2.54394252260356,2.5180998242853088,2.560578747397746,2.534507266999825,2.544763923538886,2.5583753800935205,2.546010210891332,2.541318662126146,2.55036746566813,2.5445792501792175,2.54485304562189,2.540712281515961,2.5413676236886213,2.5417584142694,2.5417584142694007,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694016,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269402
Nematostella_12,5.048481530484247,2.9828065395360093,2.5213535005605956,2.185016351203511,2.1851254869969936,2.5966642146762733,1.0659569144147134,2.702533097951854,3.127354578314381,1.7841036640971448,2.9511067498685075,2.451432391380314,2.236421887749715,2.2081966299096405,2.392628601964724,2.1286355822440624,2.6052275176842885,2.6880983083171492,2.4767576622542715,2.3529750785834027,2.4681515339577875,2.6699009395823206,2.659200494779569,2.4705868079206086,2.6455403710068746,2.6439218632512556,2.6346840121702666,2.590792536891087,2.6010034424059096,2.7248459714009967,2.6477877957887777,2.5666793681387645,2.542835222083455,2.488451614953952,2.5165830282258517,2.5527268570608883,2.5566986909297253,2.5411284525413684,2.5892582196909903,2.5431957232862925,2.572478956245867,2.5508175449056574,2.5477982148563636,2.553198051420984,2.5437950749533553,2.5350257790244344,2.535225350253401,2.5393301387427627,2.5414487763272953,2.5437856396293754,2.542250470933803,2.5417584142694,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.5417584142694016,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007
Nematostella_13,4.568943252214092,3.323136997028266,3.6902784657974994,2.4287802506371445,2.2790634967499956,1.2247936707572928,1.7667096123549748,2.763488421412747,2.2273112877525616,2.4380947348687765,2.744878846870435,2.5588408722586986,2.880477244811585,2.443048457159155,3.0041333175822356,3.1557294422839464,2.769276136033108,2.7993665287705003,2.551759654649424,2.1452465346665495,2.864532748170836,2.660793390505033,2.277790293965214,2.2555209561039966,2.9333651925934547,2.511001017447551,2.441339152703763,2.4768325957888475,2.5757012336638327,2.5716279959057373,2.6553557144795445,2.418874619084553,2.5928212708909126,2.5687058821507835,2.5692847121829407,2.5133286023420487,2.538556479637992,2.5426673855393886,2.5515579431011415,2.5620377435713246,2.530559002154022,2.5394909253537823,2.527876282461996,2.5372009910329947,2.544629959681853,2.5492576581769977,2.544016032907079,2.5414500223498213,2.5385707363783023,2.5403577547262337,2.5415677122096625,2.5417584142693994,2.5417584142694007,2.541758414269401,2.5417584142694016,2.5417584142694007,2.5417584142694016,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.5417584142694016,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007
Nematostella_14,4.666915465803582,3.4936716051929517,2.0164071398659185,4.112324615138765,2.144577469932339,2.342016074645359,1.807770747360842,2.110327655207685,2.3920069593854656,3.0131191952711975,2.1507826109256416,2.9079695081316213,1.8289028950841462,2.30213341609029,2.68310628520792,2.5133756530183504,2.581335626116392,2.3465252060621182,2.6453806773393396,2.5867603020500227,2.6419037549836646,2.6809616845472286,2.8292321467885215,2.5392320976177354,2.5239786023225403,2.6424022941901817,2.4660654090241647,2.6197645840515924,2.5161586632348225,2.715593883966113,2.5281575035767445,2.54602644174285,2.5126882761214455,2.607845822739192,2.5018838329985846,2.5139251652490646,2.5701744486948397,2.5305341268170367,2.5617951672739365,2.5423799247353824,2.5526006105841637,2.5553040118221686,2.5383961108107496,2.540697030286087,2.5452332324697107,2.5295996127882643,2.5367829063975234,2.5437126858395316,2.5423214809314882,2.5418599643035806,2.5414243754569172,2.5417584142694,2.541758414269401,2.5417584142694016,2.5417584142694016,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007
Nematostella_15,4.213475721851455,3.2169862515666834,1.9102201131615038,4.090530061988197,2.203406250923233,2.0630428749763636,1.5525636509766454,1.7603712529014,2.8925499969860273,2.6282348500378774,2.128321987735238,2.4684492071311532,2.083299094677616,3.025974932473004,2.4716552892697474,2.835984993596025,2.3901477573217598,2.7232579466887126,2.7739178364377293,2.68426918231118,2.6599569342453475,2.724890375757108,2.8859426773114367,2.746531895685992,2.834496598215802,2.397404577859832,2.6712779595914387,3.1207136546328584,2.800879890258332,2.286887557942027,2.305991939335401,2.4197285587393518,2.5116056587336604,2.3834479477195933,2.6344136370604803,2.5527980137122186,2.543341571773816,2.5439505964674853,2.5767522194321986,2.5338659882602665,2.581010194443832,2.5135959614775367,2.5462856279000636,2.5739385732105324,2.547633143539888,2.5452197661240863,2.5253322015332524,2.537777075503488,2.5434807408772757,2.5419223938559186,2.542343122579567,2.5417584142694,2.541758414269401,2.541758414269401,2.5417584142694016,2.5417584142694007,2.5417584142694016,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694016,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401
Nematostella_16,0.9481639041022958,2.9815477952699254,1.3491262963684072,3.0963428033107663,3.0411323146560494,2.5131451314703797,2.044433765278701,2.4655804943741875,2.9831215460821303,2.097431153454561,2.1387610424410095,3.188675588680301,1.7274587834615849,2.8134669475329153,2.4253280662458785,2.9143312716754,2.5003209178990735,2.7359075600566007,2.5390154037962858,2.7069741765241866,2.693877196137488,2.2925816592063857,2.465259862977306,2.634558423157212,2.3578818221396403,2.485377755077025,2.535925445914849,2.474133457966116,2.514691611037986,2.4359926025086143,2.5513970818418414,2.492171912947869,2.5006706441192166,2.5994234962591833,2.576229809214333,2.554363523511625,2.567394496597895,2.5435283111803457,2.514305328555322,2.5375279217633717,2.5299335665592073,2.544706269007297,2.5369463281668776,2.536982203316653,2.536788747640802,2.550240969435764,2.54249970076126,2.5422792254242665,2.5407275449422757,2.5409222700341982,2.5415524610518854,2.541758414269403,2.5417584142694016,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694016
Nematostella_17,3.058973232066366,0.3799641924508923,2.3166372560593826,1.8635593030796915,3.2288523229684136,2.175287436118347,2.77919537871062,2.798260638251896,2.016908050516972,2.4178091588346415,2.3265694182970678,3.181643007035872,2.672399478953379,3.0707238928323752,3.388114566948893,2.607497722100435,2.5469924632414203,2.7024472221486238,2.297861980434659,2.4848562320476733,2.622763872298044,2.669386446813588,2.4227772944026946,2.519240755449837,2.703400494247175,2.4949983063231373,2.6370153992319985,2.536626278082669,2.5063433872096423,2.652644891904048,2.5569483226861975,2.50882588572246,2.540177929268672,2.5097541253061797,2.575504972575125,2.5546528116752523,2.5659253579503245,2.54745377887017,2.55902134095773,2.491054787697404,2.5512901582090137,2.5322922468399747,2.5379708818455895,2.5531402886770316,2.5491464970076323,2.5439246393317485,2.5477805883585773,2.5430515536724005,2.545850758666836,2.54076159556185,2.541295262711677,2.5417584142694,2.5417584142694007,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269402
Nematostella_18,3.279604133710888,0.4207273002487075,2.2254410963803335,1.8599442846611915,3.5224206695891107,2.727650923888534,2.481850500133312,3.695216083846837,2.3667281448619777,2.208753345611375,2.711793681346784,2.119943227081911,2.415839191482982,1.766568660895552,3.3700038199398734,2.1179590053222332,2.5967507348513803,2.4484920757352575,2.743131100191369,3.147455732967528,2.610242986989273,2.3092148920509725,2.8580740347919766,2.352209098192387,2.5422241798227776,2.3482652356338822,2.596615737819289,2.5632266966489956,2.513258202344245,2.6991230854388673,2.4129731920301616,2.53128291598635,2.4036811067001382,2.691230163840617,2.4331885104314352,2.5025814509109114,2.6244591456738524,2.5241316226655606,2.5412379154708686,2.5411500586633684,2.5172442024366233,2.5550758196990637,2.556308349189754,2.53358130515676,2.542776050469533,2.5318023465864923,2.5408152397918036,2.5422676456761195,2.543000322869704,2.542878691630982,2.5409355811926644,2.541758414269399,2.5417584142694007,2.541758414269401,2.5417584142694007,2.5417584142694016,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694016
Nematostella_19,2.895507939728913,0.8770756209152997,1.4925065654371166,3.736951350252567,3.3353503627102574,2.116175446302667,2.9800918338958065,2.7767087213300146,2.523342112319156,2.2457934082868194,2.4427066739868413,3.3355724578145485,2.3567185187168533,1.8724083634301405,3.1978157777074134,2.6148934115048514,3.0976794573123927,2.5000066778593113,2.610165521530998,2.4312089328200073,2.7449379609481945,2.4967837023797745,2.3443732137083573,2.336903683926595,2.5997868881472126,2.5594843883793765,2.5690055410275834,2.473954172596333,2.5839501507205163,2.731570993975105,2.4688616144199136,2.491963114816364,2.5588840980297967,2.587928312543668,2.514054893249112,2.5336205242799883,2.6013564463156302,2.5650158401213212,2.543386514586834,2.510354379521589,2.523711605885067,2.5352875284885243,2.5351089840018632,2.5359608570906182,2.5420019218197587,2.548714398811917,2.5433009236238155,2.5406876982031243,2.5393994861377642,2.5415464737118167,2.541502372905834,2.5417584142693994,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694016,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269402
Nematostella_20,1.6914528550776216,1.7592444044124562,3.915898547562757,2.6498644679038827,1.721676568657907,2.0716957679752634,2.4328265862410117,2.279790636364098,2.983756251245728,2.4709413932193045,2.063324122549605,1.9009265822006276,2.695367600802153,2.5153119830594783,3.2795132676569683,2.768023956943872,2.753945248609227,2.8362525839520427,2.525013338887296,2.306126336192211,2.5220579054401564,2.4878213551392117,2.301882671979999,2.736026181431975,2.459307969864404,2.458114621364204,2.5279610730218067,2.5630959035105954,2.647160319659747,2.6456049830605015,2.453423225865725,2.4175885743205185,2.505676230278172,2.5371146075065805,2.437203521163418,2.5447301864756877,2.5118824985056842,2.5461393319369248,2.538756449052712,2.5000823044798044,2.5398258509436586,2.5433456964342143,2.5286242866521382,2.535745117991751,2.5496013100704045,2.5443733349792965,2.541342121521325,2.5402425099687798,2.5411704280682756,2.54109340722126,2.5419759124455297,2.5417584142694,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401
