inchi,maccs_1,maccs_2,maccs_3,maccs_4,maccs_5,maccs_6,maccs_7,maccs_8,maccs_9,maccs_10,maccs_11,maccs_12,maccs_13,maccs_14,maccs_15,maccs_16,maccs_17,maccs_18,maccs_19,maccs_20,maccs_21,maccs_22,maccs_23,maccs_24,maccs_25,maccs_26,maccs_27,maccs_28,maccs_29,maccs_30,maccs_31,maccs_32,maccs_33,maccs_34,maccs_35,maccs_36,maccs_37,maccs_38,maccs_39,maccs_40,maccs_41,maccs_42,maccs_43,maccs_44,maccs_45,maccs_46,maccs_47,maccs_48,maccs_49,maccs_50,maccs_51,maccs_52,maccs_53,maccs_54,maccs_55,maccs_56,maccs_57,maccs_58,maccs_59,maccs_60,maccs_61,maccs_62,maccs_63,maccs_64,maccs_65,maccs_66,maccs_67,maccs_68,maccs_69,maccs_70,maccs_71,maccs_72,maccs_73,maccs_74,maccs_75,maccs_76,maccs_77,maccs_78,maccs_79,maccs_80,maccs_81,maccs_82,maccs_83,maccs_84,maccs_85,maccs_86,maccs_87,maccs_88,maccs_89,maccs_90,maccs_91,maccs_92,maccs_93,maccs_94,maccs_95,maccs_96,maccs_97,maccs_98,maccs_99,maccs_100,maccs_101,maccs_102,maccs_103,maccs_104,maccs_105,maccs_106,maccs_107,maccs_108,maccs_109,maccs_110,maccs_111,maccs_112,maccs_113,maccs_114,maccs_115,maccs_116,maccs_117,maccs_118,maccs_119,maccs_120,maccs_121,maccs_122,maccs_123,maccs_124,maccs_125,maccs_126,maccs_127,maccs_128,maccs_129,maccs_130,maccs_131,maccs_132,maccs_133,maccs_134,maccs_135,maccs_136,maccs_137,maccs_138,maccs_139,maccs_140,maccs_141,maccs_142,maccs_143,maccs_144,maccs_145,maccs_146,maccs_147,maccs_148,maccs_149,maccs_150,maccs_151,maccs_152,maccs_153,maccs_154,maccs_155,maccs_156,maccs_157,maccs_158,maccs_159,maccs_160,maccs_161,maccs_162,maccs_163,maccs_164,maccs_165,maccs_166
peptide_683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,15,0,0,5,0,4,0,0,0,0,4,22,8,17,0,0,21,0,6,0,0,2,0,0,0,18,0,1,0,1,3,17,16,0,2,0,4,0,17,5,1,0,0,0,3,0,0,0,2,1,0,0,29,7,0,0,0,20,0,5,8,28,8,21,2,0,2,28,5,0,8,0,21,2,5,20,18,33,8,36,28,8,21,12,2,28,12,0
peptide_684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,1,1,0,0,0,0,0,19,6,9,0,0,9,1,1,0,0,0,0,0,0,15,0,0,0,0,0,9,10,0,0,0,2,0,9,6,0,1,1,0,6,0,0,0,2,0,0,0,15,12,0,0,0,15,1,0,6,21,2,9,2,0,0,21,6,0,2,0,9,0,0,15,12,17,6,17,21,2,9,0,0,21,5,0
peptide_685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,2,7,1,0,2,2,4,1,0,0,0,0,18,12,10,0,0,9,2,1,0,0,3,0,0,0,12,0,2,0,0,0,10,14,0,0,0,4,0,10,8,2,2,2,1,1,0,0,0,2,1,0,0,16,3,0,0,0,11,2,3,1,12,4,16,2,0,0,12,8,1,4,1,15,0,3,11,11,20,1,25,12,4,16,0,0,12,10,0
peptide_686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,2,9,1,0,3,2,4,1,0,0,0,2,20,12,12,0,0,12,2,3,0,0,3,0,0,0,15,0,2,0,0,1,12,16,0,0,0,4,0,12,8,2,2,2,1,2,0,0,0,2,1,0,0,20,5,0,0,0,14,2,4,3,17,4,18,2,0,0,17,8,1,4,1,17,0,4,14,13,24,3,29,17,4,18,0,0,17,10,0
peptide_687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,2,10,1,0,3,2,4,1,0,0,0,1,20,12,13,0,0,13,2,4,0,0,3,0,0,0,15,0,2,0,0,1,13,16,0,0,0,4,0,13,8,2,2,2,1,2,0,0,0,2,1,0,0,21,5,0,0,0,15,2,4,3,18,5,19,2,0,0,18,8,1,5,1,18,0,4,15,13,26,3,31,18,5,19,0,0,18,10,0
peptide_688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,1,11,0,0,5,1,5,0,1,0,1,3,22,10,14,1,0,16,1,3,0,0,2,0,0,0,15,2,1,0,0,3,14,15,0,0,0,3,1,14,6,1,1,1,0,1,0,0,0,0,2,0,0,23,4,0,0,0,15,1,6,4,19,4,19,0,0,1,19,6,0,4,0,19,0,6,15,17,27,4,29,19,4,19,9,1,19,9,0
peptide_689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,11,0,0,1,2,2,2,2,0,2,2,17,10,12,2,0,15,2,2,0,0,2,0,0,0,11,0,0,0,1,1,12,13,0,0,0,4,2,12,9,0,2,2,2,3,0,0,0,0,1,0,0,16,5,0,0,0,15,2,5,5,20,6,13,0,0,1,20,9,2,6,2,11,1,5,15,13,24,5,26,20,6,13,6,1,20,16,0
peptide_690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0,5,0,4,0,0,0,1,4,18,5,13,0,0,16,0,7,0,0,1,0,0,0,18,0,0,0,0,3,13,15,0,2,0,2,0,13,5,0,0,0,0,4,0,0,0,2,0,1,0,24,8,0,0,0,17,0,5,8,25,2,15,2,0,1,25,5,0,2,0,15,1,5,17,17,25,8,26,25,2,15,6,1,25,6,0
peptide_691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,0,1,0,5,0,0,0,0,3,20,8,13,0,0,15,0,4,0,0,1,0,0,0,15,0,0,0,0,0,13,12,0,0,0,2,0,13,8,0,0,0,0,4,0,0,0,0,0,1,0,22,9,0,0,0,17,0,1,7,24,5,15,0,0,0,24,8,0,5,0,15,3,1,17,16,24,7,25,24,5,15,0,0,24,0,0
peptide_692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,9,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,0,3,1,10,0,0,2,1,4,1,1,0,1,1,14,8,11,1,0,11,1,3,0,0,2,0,1,0,10,0,1,0,0,1,11,11,0,0,0,5,1,11,6,1,1,1,1,1,1,0,0,0,1,0,1,16,4,0,0,0,13,1,4,2,15,9,15,0,0,0,15,6,2,9,1,14,0,4,12,11,22,2,25,15,9,15,0,0,15,5,0
